Date,Amount,Category
2023-03-13,$8086.79,Rent
2024-01-01,$9846.40,Lawyer
2023-02-11,$8935.28,Lawyer Fees
2023-03-10,$2965.44,Daycare
2023-07-31,$4495.66,Lawyer Fees
2023-06-11,$8536.62,Lawyer Fees
2023-01-07,$4060.81,Daycare
2023-08-01,$2520.21,Gas
2023-02-27,$2247.24,Lawyer Fees
2024-02-21,$9492.52,Gas
2023-09-09,$9839.94,Rent
2023-04-19,$1929.12,Daycare
2024-01-15,$31.16,Rent
2024-01-18,$5517.21,Lawyer Fees
2023-10-29,$7522.99,Lawyer
2023-07-12,$4935.28,Daycare
2023-02-07,$1891.44,Lawyer Fees
2024-01-04,$2723.97,Gas
2024-01-21,$556.20,Daycare
2023-01-12,$7420.71,Daycare
2023-11-24,$3093.90,Gas
2023-05-13,$1302.38,Lawyer
2023-02-16,$9913.37,Lawyer Fees
2023-10-02,$9124.07,Lawyer Fees
2023-11-06,$1354.52,Rent
2023-04-03,$5686.73,Lawyer Fees
2023-08-24,$4384.30,Daycare
2023-10-25,$1496.05,Daycare
2023-11-13,$5623.40,Rent
2023-10-13,$9385.30,Lawyer Fees
2023-03-10,$9938.89,Gas
2023-01-26,$2781.00,Gas
2023-01-07,$9713.30,Lawyer Fees
2023-06-06,$9765.40,Rent
2023-04-24,$2007.17,Lawyer
2023-11-08,$9073.90,Lawyer Fees
2023-09-10,$9914.87,Rent
2023-10-22,$5247.48,Lawyer
2023-07-11,$8905.92,Rent
2024-01-18,$1677.66,Daycare
2023-12-30,$9063.14,Rent
2023-01-25,$632.59,Gas
2023-08-23,$8168.11,Lawyer Fees
2023-12-30,$4533.68,Rent
2024-01-04,$8363.81,Lawyer
2023-12-31,$3429.38,Lawyer Fees
2023-11-27,$1915.63,Rent
2023-12-25,$3696.34,Daycare
2023-08-03,$2929.30,Gas
2023-04-29,$5666.51,Daycare
2023-10-30,$4009.38,Lawyer
2023-08-11,$1038.24,Lawyer Fees
2023-08-11,$6527.50,Gas
2023-08-06,$7505.62,Gas
2023-12-06,$9781.61,Lawyer Fees
2023-04-27,$7827.34,Gas
2023-07-24,$4802.48,Rent
2023-06-01,$5748.87,Lawyer
2024-01-19,$8948.30,Rent
2023-02-15,$8786.94,Lawyer
2023-05-11,$4575.25,Gas
2023-10-20,$6468.11,Daycare
2023-05-03,$8335.07,Lawyer
2023-02-04,$8018.01,Rent
2024-01-27,$7494.81,Daycare
2023-11-28,$7145.62,Daycare
2023-04-08,$9005.27,Rent
2023-06-29,$2138.52,Lawyer Fees
2023-09-17,$3211.97,Gas
2023-11-13,$8835.67,Daycare
2023-07-19,$6326.82,Daycare
2023-07-21,$49.65,Lawyer
2023-01-17,$2260.66,Lawyer
2023-07-07,$6700.04,Lawyer Fees
2023-06-18,$4677.03,Rent
2023-01-28,$1089.37,Daycare
2023-08-17,$1664.87,Daycare
2023-12-18,$4071.64,Lawyer
2023-04-16,$3351.01,Rent
2023-01-27,$7942.66,Rent
2023-12-18,$4319.41,Lawyer Fees
2023-05-25,$2026.54,Lawyer
2023-06-25,$9472.83,Lawyer Fees
2023-09-24,$5993.13,Lawyer Fees
2023-09-29,$8990.50,Lawyer Fees
2023-02-18,$3544.94,Rent
2023-08-15,$3928.53,Daycare
2023-09-29,$3725.67,Rent
2023-09-25,$6130.48,Lawyer Fees
2023-01-13,$2318.30,Gas
2023-04-02,$9350.80,Lawyer Fees
2024-01-12,$2821.31,Rent
2023-11-21,$9257.66,Rent
2023-12-05,$7143.74,Gas
2023-08-29,$3605.31,Daycare
2023-11-11,$979.10,Rent
2024-01-04,$6287.99,Gas
2023-12-28,$7580.47,Daycare
2023-11-24,$6467.20,Rent
2023-08-05,$5376.80,Gas
2023-02-15,$4213.70,Rent
2023-06-11,$4182.55,Gas
2023-05-31,$9251.72,Gas
2023-01-27,$9831.13,Lawyer Fees
2023-08-07,$9593.54,Rent
2024-02-12,$3129.04,Daycare
2023-06-26,$3252.17,Lawyer Fees
2024-02-25,$993.79,Lawyer
2023-01-15,$6805.04,Lawyer
2023-03-13,$4600.38,Gas
2024-01-06,$4413.68,Daycare
2023-02-20,$9167.54,Daycare
2023-02-03,$3139.44,Lawyer
2023-02-21,$6883.70,Gas
2023-06-16,$9369.77,Lawyer
2023-12-30,$9049.98,Lawyer
2023-12-26,$1663.89,Gas
2023-08-03,$3874.70,Rent
2023-07-06,$7092.48,Daycare
2023-09-08,$8903.48,Lawyer
2024-01-10,$3675.93,Rent
2023-02-21,$9394.87,Daycare
2023-04-30,$8665.59,Rent
2023-06-18,$6904.65,Rent
2023-01-04,$3634.77,Rent
2023-07-21,$180.60,Lawyer Fees
2024-02-04,$5180.37,Lawyer
2024-01-15,$6431.75,Lawyer
2024-02-14,$9607.20,Lawyer Fees
2023-07-02,$712.21,Lawyer
2023-04-04,$9292.57,Lawyer Fees
2023-12-10,$9612.96,Lawyer
2023-06-09,$2599.17,Lawyer
2023-02-13,$6958.11,Lawyer Fees
2023-10-21,$2662.20,Daycare
2023-10-19,$1597.89,Lawyer
2023-08-24,$6961.23,Gas
2024-01-01,$5080.40,Gas
2023-09-27,$2058.04,Lawyer
2023-09-27,$1219.21,Lawyer
2024-01-23,$2891.18,Lawyer
2023-12-18,$6964.95,Lawyer Fees
2023-01-04,$5741.31,Lawyer Fees
2023-05-10,$5040.65,Lawyer
2023-08-03,$6107.54,Gas
2024-02-27,$7538.44,Rent
2023-10-19,$600.66,Lawyer Fees
2023-04-08,$4373.80,Rent
2023-06-24,$8118.36,Rent
2023-10-08,$1619.10,Gas
2023-03-28,$3925.13,Lawyer
2023-04-15,$9789.79,Gas
2023-12-18,$9435.26,Gas
2023-04-18,$2474.00,Lawyer
2024-01-18,$9358.94,Gas
2023-07-25,$1179.06,Lawyer
2023-08-26,$9710.66,Rent
2023-11-26,$5386.55,Gas
2023-06-25,$5763.46,Lawyer Fees
2023-11-01,$9219.36,Gas
2023-04-30,$5689.36,Gas
2023-05-17,$2563.62,Gas
2023-09-14,$1163.02,Gas
2023-05-08,$1995.95,Lawyer
2023-04-24,$2663.21,Lawyer Fees
2023-01-29,$654.81,Lawyer
2023-08-25,$6169.65,Gas
2023-12-31,$4189.50,Rent
2023-06-04,$4578.85,Daycare
2023-09-23,$3378.50,Daycare
2023-02-22,$8883.42,Gas
2023-07-04,$8489.66,Lawyer
2023-01-29,$3410.48,Lawyer
2023-09-07,$490.15,Daycare
2023-11-28,$104.61,Rent
2024-01-19,$9323.04,Gas
2023-07-06,$2010.81,Gas
2023-08-31,$7938.84,Daycare
2023-12-04,$2153.44,Lawyer
2023-09-15,$6895.04,Rent
2023-02-01,$1410.87,Lawyer Fees
2023-02-15,$32.09,Rent
2023-09-22,$1703.92,Lawyer Fees
2023-04-22,$1230.52,Daycare
2023-09-27,$7038.19,Gas
2023-12-03,$8483.72,Rent
2023-12-15,$7884.01,Lawyer
2023-12-30,$956.24,Rent
2023-06-26,$3443.63,Daycare
2023-11-17,$2415.42,Gas
2023-03-25,$4459.19,Gas
2023-01-01,$8462.65,Gas
2023-04-26,$2451.72,Lawyer Fees
2023-04-20,$2773.09,Gas
2024-02-11,$7166.70,Lawyer
2023-07-31,$4620.46,Daycare
2023-08-24,$5921.51,Gas
2023-10-19,$6274.26,Daycare
2023-09-19,$945.27,Lawyer Fees
2023-07-30,$3879.77,Lawyer Fees
2023-11-12,$7059.08,Lawyer
2023-02-10,$3837.63,Gas
2023-06-04,$7255.21,Gas
2023-04-03,$1642.38,Daycare
2023-02-23,$2322.20,Rent
2023-05-07,$205.36,Rent
2023-05-17,$7154.92,Gas
2023-04-11,$8854.71,Daycare
2023-04-02,$6901.26,Lawyer Fees
2023-12-28,$65.51,Gas
2023-05-08,$514.55,Daycare
2023-03-31,$9006.54,Daycare
2024-02-27,$661.87,Lawyer Fees
2023-12-18,$2912.08,Lawyer
2023-10-19,$5897.78,Rent
2023-12-06,$5064.92,Lawyer
2024-02-16,$4454.80,Gas
2023-07-08,$4325.01,Daycare
2023-11-25,$995.33,Lawyer Fees
2023-03-04,$1528.04,Daycare
2023-08-05,$2321.29,Daycare
2023-04-12,$9016.90,Lawyer Fees
2023-07-14,$6520.08,Lawyer
2023-05-25,$6254.06,Rent
2023-02-23,$4820.72,Daycare
2023-10-31,$8146.02,Rent
2023-03-06,$6323.37,Rent
2023-03-07,$5347.49,Lawyer
2023-09-03,$8569.08,Gas
2023-06-08,$6472.98,Lawyer Fees
2023-06-13,$7666.58,Gas
2023-02-20,$8705.34,Gas
2024-01-09,$9869.58,Lawyer
2023-08-28,$976.95,Lawyer Fees
2023-04-18,$9346.95,Rent
2023-07-14,$9371.02,Gas
2023-06-29,$2696.25,Gas
2023-03-28,$970.55,Rent
2023-06-07,$7017.59,Gas
2023-10-05,$2254.08,Rent
2023-01-20,$4435.09,Rent
2023-06-27,$3200.17,Rent
2023-08-09,$3549.61,Lawyer Fees
2023-08-01,$6819.54,Daycare
2023-08-18,$6189.19,Lawyer
2023-12-19,$2605.09,Rent
2023-01-18,$1161.99,Daycare
2023-03-04,$3117.01,Rent
2023-03-12,$1935.08,Rent
2023-12-09,$8406.79,Daycare
2023-11-23,$705.63,Gas
2024-03-01,$2088.22,Rent
2023-04-03,$1864.04,Daycare
2023-12-18,$6448.91,Daycare
2023-11-19,$4951.30,Gas
2024-02-11,$3368.31,Lawyer
2023-09-23,$9543.45,Daycare
2023-08-20,$890.28,Lawyer
2023-12-30,$7993.43,Daycare
2023-02-06,$920.85,Lawyer Fees
2024-01-20,$1922.01,Rent
2023-02-26,$4789.33,Daycare
2023-04-21,$1304.21,Daycare
2023-05-20,$5560.17,Gas
2023-07-07,$7568.50,Rent
2023-09-06,$6197.20,Lawyer
2023-10-31,$5024.25,Gas
2023-10-19,$7177.20,Daycare
2023-03-07,$3272.39,Lawyer
2023-10-18,$4717.48,Rent
2024-02-27,$4691.63,Gas
2024-02-24,$3108.12,Daycare
2024-01-23,$7105.65,Lawyer
2023-12-30,$9672.84,Lawyer
2023-07-07,$9144.21,Lawyer
2023-06-02,$3871.43,Daycare
2023-09-20,$6714.75,Daycare
2023-09-20,$9089.39,Rent
2023-06-18,$3566.76,Daycare
2024-01-25,$4812.08,Lawyer
2024-01-12,$9318.62,Gas
2023-05-18,$5542.27,Lawyer Fees
2023-01-07,$5629.32,Rent
2023-04-30,$8594.67,Gas
2023-12-09,$4897.27,Rent
2023-03-31,$6490.15,Daycare
2023-05-17,$2087.56,Rent
2023-09-16,$4633.22,Lawyer Fees
2023-04-06,$2266.22,Lawyer
2023-12-15,$5382.03,Lawyer Fees
2023-07-20,$9896.41,Lawyer
2023-12-10,$5912.48,Gas
2023-09-07,$7105.73,Gas
2023-09-18,$480.37,Lawyer Fees
2023-06-25,$8375.69,Gas
2023-02-22,$4449.61,Daycare
2023-08-15,$4407.31,Rent
2023-03-05,$1042.60,Lawyer Fees
2023-07-16,$780.24,Rent
2023-01-01,$3394.18,Daycare
2023-03-15,$8438.75,Lawyer Fees
2024-01-09,$910.39,Daycare
2023-04-12,$5328.89,Gas
2024-02-19,$3018.80,Daycare
2023-01-20,$1804.18,Rent
2023-03-11,$4450.15,Lawyer Fees
2023-04-25,$2338.81,Rent
2023-12-07,$2375.92,Rent
2023-06-12,$1518.39,Gas
2023-08-28,$2029.69,Lawyer Fees
2023-07-14,$9440.61,Gas
2024-02-15,$807.93,Lawyer Fees
2023-12-23,$3054.39,Daycare
2023-03-30,$7662.02,Daycare
2023-03-15,$4863.39,Daycare
2023-02-11,$8525.72,Lawyer
2024-02-18,$2119.41,Rent
2023-08-04,$4992.21,Rent
2023-08-16,$7666.89,Rent
2023-02-16,$9185.59,Lawyer
2023-03-09,$4710.30,Daycare
2024-02-11,$1420.26,Gas
2023-11-14,$524.75,Daycare
2024-01-10,$2573.10,Lawyer Fees
2023-01-12,$5857.55,Gas
2024-02-05,$6485.41,Gas
2023-08-24,$7894.20,Gas
2023-06-10,$5328.59,Lawyer Fees
2023-05-26,$7830.72,Daycare
2023-08-03,$8348.93,Lawyer Fees
2023-12-16,$6397.93,Lawyer Fees
2023-12-21,$5764.36,Gas
2023-09-24,$6961.86,Daycare
2024-01-01,$9930.89,Lawyer
2023-08-16,$4992.67,Lawyer Fees
2023-11-26,$7459.38,Rent
2023-09-06,$5482.75,Gas
2023-03-31,$503.77,Lawyer Fees
2023-05-28,$5849.28,Daycare
2023-10-29,$7247.95,Daycare
2023-02-27,$4367.43,Lawyer
2024-01-31,$4467.97,Gas
2023-01-15,$9879.75,Lawyer Fees
2023-03-30,$4960.13,Lawyer Fees
2024-01-01,$3850.96,Rent
2023-07-22,$7230.60,Lawyer
2023-09-02,$4685.53,Gas
2023-04-22,$6010.11,Gas
2023-04-21,$8944.23,Rent
2023-12-03,$3266.92,Lawyer Fees
2023-04-17,$9620.88,Lawyer Fees
2024-01-11,$72.59,Rent
2023-05-28,$3828.69,Lawyer Fees
2024-02-23,$1992.86,Lawyer Fees
2023-04-24,$6925.45,Rent
2023-12-05,$9994.80,Daycare
2023-02-20,$4943.65,Daycare
2023-11-23,$5830.08,Rent
2023-02-07,$7660.57,Lawyer Fees
2023-12-06,$2417.36,Lawyer
2024-01-31,$6640.16,Lawyer
2023-12-28,$3224.56,Daycare
2023-10-10,$4115.94,Gas
2024-01-28,$7651.62,Rent
2023-10-20,$4489.85,Daycare
2023-11-19,$6320.53,Daycare
2023-10-20,$2580.08,Rent
2023-08-07,$3633.68,Lawyer
2023-03-02,$3715.11,Rent
2023-07-18,$7359.75,Gas
2023-06-22,$1748.76,Gas
2023-04-28,$8773.24,Lawyer Fees
2023-02-14,$144.44,Rent
2023-11-21,$1523.89,Daycare
2023-06-08,$9147.87,Gas
2023-01-14,$8970.45,Daycare
2023-02-07,$9079.72,Rent
2023-08-17,$2782.06,Lawyer Fees
2024-02-06,$8218.94,Lawyer Fees
2023-06-18,$2809.91,Daycare
2023-06-28,$3112.31,Gas
2023-11-18,$7449.59,Lawyer
2023-12-27,$197.35,Lawyer
2023-04-01,$6435.38,Daycare
2023-09-09,$6289.93,Daycare
2023-01-01,$9486.15,Rent
2023-11-02,$3061.26,Gas
2023-11-28,$2680.10,Rent
2023-10-28,$8156.07,Daycare
2023-12-21,$2740.56,Rent
2023-03-21,$8935.87,Daycare
2023-06-04,$7482.66,Gas
2023-04-20,$1470.41,Lawyer
2023-08-28,$5678.89,Rent
2023-04-19,$166.28,Gas
2024-02-15,$7137.00,Gas
2023-03-15,$9850.85,Gas
2023-07-16,$345.94,Lawyer Fees
2023-01-17,$4511.78,Rent
2023-09-01,$816.02,Gas
2023-09-28,$1994.17,Rent
2024-01-11,$2249.42,Rent
2024-01-11,$8149.09,Rent
2023-02-25,$6211.11,Lawyer Fees
2023-07-11,$5072.76,Lawyer
2023-12-30,$4809.49,Lawyer
2024-01-27,$3586.46,Daycare
2023-01-24,$9160.70,Daycare
2023-11-26,$1135.32,Rent
2023-10-04,$652.60,Daycare
2023-12-05,$9092.43,Gas
2023-06-04,$626.79,Rent
2023-12-13,$6040.32,Gas
2023-07-30,$5443.68,Daycare
2023-01-31,$9006.79,Lawyer
2023-02-09,$9441.03,Lawyer Fees
2023-04-21,$9450.09,Gas
2023-09-17,$95.18,Lawyer Fees
2024-01-03,$212.14,Rent
2023-08-11,$9553.81,Gas
2023-08-20,$3476.20,Daycare
2023-01-19,$6832.44,Daycare
2023-08-31,$633.70,Rent
2023-12-26,$3763.89,Lawyer
2023-06-16,$2628.30,Daycare
2023-11-30,$56.50,Rent
2023-07-04,$727.06,Gas
2023-09-06,$4699.80,Rent
2023-12-08,$9490.48,Lawyer Fees
2023-09-27,$9185.72,Lawyer Fees
2023-04-09,$3673.02,Lawyer
2023-10-09,$4220.40,Lawyer Fees
2023-07-01,$7001.99,Daycare
2023-03-02,$3833.23,Daycare
2023-08-26,$5852.98,Lawyer Fees
2023-05-01,$8571.86,Daycare
2024-02-24,$6567.32,Daycare
2023-07-24,$3792.10,Daycare
2023-01-21,$3650.14,Lawyer Fees
2023-07-21,$3014.62,Gas
2023-12-13,$8238.22,Rent
2023-11-27,$798.61,Rent
2023-05-24,$5111.58,Lawyer
2023-07-22,$8188.68,Gas
2023-05-14,$6218.99,Gas
2023-12-27,$726.70,Lawyer
2023-05-16,$4692.06,Lawyer
2023-06-12,$3899.31,Daycare
2023-10-16,$8170.11,Lawyer
2024-02-21,$9788.05,Rent
2023-04-02,$6551.82,Lawyer Fees
2024-02-06,$4808.96,Gas
2023-03-15,$2640.92,Daycare
2024-01-11,$2449.64,Daycare
2023-05-03,$3390.19,Lawyer Fees
2023-08-16,$3725.63,Lawyer Fees
2023-08-05,$9485.78,Rent
2023-02-06,$4171.66,Rent
2023-08-13,$4971.94,Lawyer Fees
2023-10-19,$3390.57,Rent
2023-07-09,$6999.98,Gas
2023-01-20,$7683.85,Lawyer
2023-11-20,$1614.61,Rent
2023-04-09,$3107.46,Rent
2023-07-07,$4960.42,Daycare
2023-09-15,$7568.63,Daycare
2023-06-12,$190.52,Gas
2023-12-23,$1227.03,Daycare
2024-01-17,$4434.50,Gas
2023-08-25,$198.08,Lawyer
2023-08-16,$7290.42,Lawyer
2023-12-12,$5746.47,Lawyer Fees
2023-01-14,$3718.11,Lawyer
2023-07-01,$3106.29,Daycare
2023-05-27,$5831.78,Gas
2023-10-25,$7588.29,Lawyer Fees
2023-02-20,$1520.52,Rent
2023-09-27,$1926.02,Rent
2023-12-11,$8148.54,Gas
2024-02-16,$2243.15,Lawyer
2023-06-23,$1412.27,Lawyer
2023-04-28,$2682.75,Daycare
2023-09-26,$5785.11,Daycare
2023-01-10,$8311.81,Lawyer Fees
2023-07-18,$8749.16,Lawyer
2023-06-17,$1770.38,Lawyer Fees
2023-03-21,$5779.12,Daycare
2023-03-10,$1182.53,Lawyer
2024-02-15,$4092.78,Rent
2024-02-11,$6471.40,Lawyer Fees
2023-04-08,$1822.11,Lawyer Fees
2024-01-03,$7541.85,Lawyer
2023-04-29,$1068.00,Rent
2023-11-22,$6392.49,Gas
2023-06-19,$6377.56,Lawyer Fees
2023-09-16,$1552.27,Lawyer
2023-01-13,$8402.81,Rent
2023-11-27,$3637.17,Daycare
2023-01-20,$9634.21,Lawyer
2023-02-11,$9093.20,Gas
2024-02-16,$8142.17,Lawyer
2023-10-06,$9097.95,Lawyer Fees
2023-09-21,$8328.07,Lawyer Fees
2023-05-10,$2139.44,Lawyer
2023-11-19,$2395.07,Lawyer
2024-01-11,$3207.12,Daycare
2023-10-02,$4316.69,Lawyer
2023-08-20,$1530.65,Daycare
2023-01-13,$2323.93,Rent
2023-09-13,$3503.83,Gas
2023-12-27,$5658.73,Rent
2023-09-12,$2332.42,Lawyer
2023-02-06,$9480.14,Daycare
2023-02-05,$8338.35,Gas
2023-05-11,$1356.65,Lawyer Fees
2023-02-06,$8330.76,Lawyer
2024-02-09,$8978.27,Lawyer
2023-10-12,$5952.20,Gas
2023-03-07,$1652.69,Rent
2023-02-28,$8182.58,Lawyer Fees
2023-03-26,$6434.23,Gas
2024-02-11,$9799.78,Lawyer
2023-05-07,$3475.45,Rent
2023-06-07,$6221.72,Daycare
2023-06-30,$3886.30,Lawyer
2023-08-13,$2441.32,Lawyer
2024-01-28,$1252.98,Lawyer
2023-10-21,$5961.93,Daycare
2023-11-26,$8642.84,Rent
2023-05-28,$3670.12,Lawyer Fees
2023-10-07,$8808.30,Lawyer Fees
2023-04-03,$9417.75,Gas
2023-11-14,$1700.22,Rent
2023-05-14,$2887.61,Gas
2023-01-09,$9634.63,Lawyer Fees
2023-02-16,$1928.70,Gas
2023-07-22,$3564.74,Rent
2023-11-11,$4340.69,Gas
2023-02-18,$7115.17,Lawyer Fees
2023-07-11,$2246.87,Lawyer Fees
2023-10-14,$2443.75,Rent
2024-01-22,$9799.90,Rent
2023-08-11,$7508.44,Lawyer Fees
2024-01-07,$1411.97,Lawyer Fees
2023-04-22,$8331.82,Rent
2023-12-10,$1681.12,Gas
2023-06-20,$297.52,Gas
2023-03-24,$9133.88,Lawyer
2023-12-18,$8048.59,Lawyer
2023-04-03,$434.39,Lawyer Fees
2023-07-16,$8460.29,Gas
2023-10-27,$4618.90,Lawyer
2023-11-17,$2264.04,Lawyer
2024-02-11,$4721.45,Lawyer Fees
2024-01-19,$2899.58,Gas
2023-03-23,$5868.84,Gas
2023-07-03,$3282.87,Lawyer Fees
2023-05-17,$8040.19,Rent
2023-05-12,$9008.27,Daycare
2023-04-12,$7052.74,Daycare
2023-10-09,$242.27,Daycare
2024-01-10,$8652.09,Lawyer Fees
2023-11-07,$7698.30,Rent
2023-04-30,$2639.79,Daycare
2023-05-02,$9772.82,Rent
2023-02-05,$4439.93,Daycare
2023-08-14,$2173.68,Lawyer
2023-04-24,$4036.32,Lawyer
2023-02-05,$2797.52,Lawyer
2023-08-19,$5161.51,Gas
2023-03-11,$742.74,Lawyer
2023-02-15,$1937.05,Daycare
2023-05-03,$5652.40,Rent
2024-02-19,$7436.01,Rent
2023-04-30,$4662.25,Lawyer Fees
2023-02-09,$7560.32,Gas
2024-01-28,$7042.87,Rent
2023-08-20,$4534.84,Gas
2023-12-10,$1018.89,Lawyer
2023-07-07,$4968.96,Gas
2023-04-30,$8746.51,Daycare
2023-10-31,$7412.35,Lawyer
2023-01-20,$9392.71,Daycare
2024-03-01,$9740.25,Gas
2023-07-06,$262.32,Gas
2023-08-18,$485.22,Rent
2023-08-10,$2385.79,Rent
2023-06-30,$4004.79,Lawyer Fees
2023-12-07,$9216.53,Rent
2023-07-04,$2048.22,Gas
2023-05-04,$1224.17,Lawyer Fees
2023-09-08,$7708.40,Lawyer
2023-04-25,$4979.80,Gas
2023-04-14,$2489.75,Lawyer
2023-12-19,$2858.94,Gas
2023-03-16,$9895.63,Daycare
2023-01-23,$8668.55,Rent
2023-02-19,$7448.00,Daycare
2023-07-23,$9365.26,Gas
2023-03-29,$4219.95,Rent
2023-06-07,$869.37,Gas
2023-06-08,$6145.19,Daycare
2023-07-09,$572.66,Gas
2023-03-04,$2489.20,Gas
2023-04-28,$9953.19,Lawyer
2023-01-22,$6109.68,Gas
2023-03-26,$8119.35,Lawyer Fees
2024-02-14,$299.36,Lawyer
2023-01-02,$4247.77,Lawyer Fees
2023-11-13,$6129.43,Lawyer Fees
2023-03-21,$640.80,Gas
2023-02-18,$9019.98,Daycare
2023-06-01,$3423.38,Gas
2024-01-02,$7779.96,Lawyer
2023-04-24,$682.17,Gas
2023-02-07,$6036.00,Daycare
2023-10-23,$7274.19,Rent
2023-08-15,$644.16,Lawyer Fees
2023-03-16,$3513.12,Lawyer Fees
2024-01-20,$4440.63,Daycare
2023-12-30,$8079.09,Daycare
2023-02-05,$2930.54,Rent
2023-01-10,$8213.83,Daycare
2023-01-10,$2104.54,Lawyer
2023-12-10,$537.19,Gas
2023-01-11,$2609.61,Lawyer Fees
2023-04-21,$9844.38,Lawyer
2024-02-12,$1019.46,Daycare
2023-06-16,$4887.47,Gas
2023-10-27,$5673.54,Daycare
2024-01-17,$4911.13,Lawyer Fees
2023-03-07,$5791.23,Lawyer Fees
2024-01-23,$6817.80,Lawyer
2023-05-02,$6876.41,Rent
2023-10-07,$6026.93,Rent
2023-07-17,$2399.64,Lawyer
2023-08-04,$2970.90,Gas
2023-07-10,$3051.81,Rent
2023-08-26,$532.85,Daycare
2023-10-03,$4997.07,Gas
2023-06-04,$1893.83,Gas
2023-07-09,$5633.78,Lawyer
2024-02-28,$9442.66,Lawyer Fees
2024-01-18,$3127.98,Gas
2023-08-28,$3640.44,Lawyer Fees
2023-05-24,$3479.93,Rent
2024-02-19,$7198.81,Lawyer
2023-04-17,$3498.07,Lawyer Fees
2023-07-05,$6165.45,Gas
2023-10-12,$8240.19,Daycare
2023-10-19,$7767.43,Lawyer Fees
2024-01-29,$2975.97,Lawyer Fees
2023-07-14,$1273.61,Lawyer
2023-08-02,$5381.48,Lawyer
2024-02-23,$6956.36,Gas
2023-09-17,$7599.49,Gas
2023-05-11,$2277.28,Lawyer Fees
2023-09-23,$1464.87,Gas
